2, [1, 1], relu
epoch: 0, loss: 0.25001364946365356
epoch: 1, loss: 0.2500144839286804
epoch: 2, loss: 0.25001242756843567
epoch: 3, loss: 0.2500179708003998
epoch: 4, loss: 0.2500187158584595
epoch: 5, loss: 0.2500097155570984
epoch: 6, loss: 0.25001025199890137
epoch: 7, loss: 0.2500106990337372
epoch: 8, loss: 0.25000712275505066
epoch: 9, loss: 0.25002071261405945
epoch: 10, loss: 0.25001463294029236
epoch: 11, loss: 0.25001680850982666
epoch: 12, loss: 0.2500096261501312
epoch: 13, loss: 0.25000903010368347
epoch: 14, loss: 0.25001734495162964
epoch: 15, loss: 0.2500176429748535
epoch: 16, loss: 0.25001266598701477
epoch: 17, loss: 0.25001272559165955
epoch: 18, loss: 0.2500133514404297
epoch: 19, loss: 0.2500113546848297
0 : 13344, 13344
0.1 : 13344, 13344
0.2 : 13344, 13344
0.3 : 13344, 13344
0.4 : 13344, 13344
0.5 : 13344, 13344
0.6 : 13344, 13344
0.7 : 13344, 13344
0.8 : 13344, 13344
0.9 : 13344, 13344
1 : 26688, 0
====================
2, [1, 2], relu
epoch: 0, loss: 0.10909956693649292
epoch: 1, loss: 0.04513859376311302
epoch: 2, loss: 0.04275118559598923
epoch: 3, loss: 0.042457304894924164
epoch: 4, loss: 0.04242398589849472
epoch: 5, loss: 0.04238738864660263
epoch: 6, loss: 0.04240992292761803
epoch: 7, loss: 0.04240095242857933
epoch: 8, loss: 0.04240885376930237
epoch: 9, loss: 0.0424104742705822
epoch: 10, loss: 0.0423782542347908
epoch: 11, loss: 0.04239624738693237
epoch: 12, loss: 0.042404793202877045
epoch: 13, loss: 0.04240645095705986
epoch: 14, loss: 0.04239819943904877
epoch: 15, loss: 0.04239477962255478
epoch: 16, loss: 0.04241460561752319
epoch: 17, loss: 0.04240301251411438
epoch: 18, loss: 0.042402539402246475
epoch: 19, loss: 0.04240732640028
0 : 13344, 13344
0.1 : 24207, 2481
0.2 : 24211, 2477
0.3 : 25012, 1676
0.4 : 25333, 1355
0.5 : 25336, 1352
0.6 : 25336, 1352
0.7 : 25336, 1352
0.8 : 25337, 1351
0.9 : 24666, 2022
1 : 26688, 0
====================
2, [1, 4], relu
epoch: 0, loss: 0.08546117693185806
epoch: 1, loss: 0.044649384915828705
epoch: 2, loss: 0.04268429055809975
epoch: 3, loss: 0.042468324303627014
epoch: 4, loss: 0.04242107272148132
epoch: 5, loss: 0.04241330921649933
epoch: 6, loss: 0.04238894209265709
epoch: 7, loss: 0.04240592569112778
epoch: 8, loss: 0.042405400425195694
epoch: 9, loss: 0.042393118143081665
epoch: 10, loss: 0.0423830971121788
epoch: 11, loss: 0.04240215942263603
epoch: 12, loss: 0.042408473789691925
epoch: 13, loss: 0.04239782318472862
epoch: 14, loss: 0.04238302633166313
epoch: 15, loss: 0.04238500818610191
epoch: 16, loss: 0.04240650311112404
epoch: 17, loss: 0.04239356145262718
epoch: 18, loss: 0.04239371791481972
epoch: 19, loss: 0.04237968102097511
0 : 13344, 13344
0.1 : 24207, 2481
0.2 : 24211, 2477
0.3 : 25012, 1676
0.4 : 25333, 1355
0.5 : 25336, 1352
0.6 : 25336, 1352
0.7 : 25337, 1351
0.8 : 25337, 1351
0.9 : 24666, 2022
1 : 26688, 0
====================
2, [1, 8], relu
epoch: 0, loss: 0.1028919517993927
epoch: 1, loss: 0.04645157605409622
epoch: 2, loss: 0.043558645993471146
epoch: 3, loss: 0.042933572083711624
epoch: 4, loss: 0.04275457188487053
epoch: 5, loss: 0.042627736926078796
epoch: 6, loss: 0.04254932329058647
epoch: 7, loss: 0.042535338550806046
epoch: 8, loss: 0.04248552769422531
epoch: 9, loss: 0.042499177157878876
epoch: 10, loss: 0.042469292879104614
epoch: 11, loss: 0.042474452406167984
epoch: 12, loss: 0.042442452162504196
epoch: 13, loss: 0.04247507080435753
epoch: 14, loss: 0.04247526824474335
epoch: 15, loss: 0.042459435760974884
epoch: 16, loss: 0.04243652895092964
epoch: 17, loss: 0.042435422539711
epoch: 18, loss: 0.042429119348526
epoch: 19, loss: 0.04243825748562813
0 : 13344, 13344
0.1 : 24207, 2481
0.2 : 24211, 2477
0.3 : 25012, 1676
0.4 : 25336, 1352
0.5 : 25336, 1352
0.6 : 25336, 1352
0.7 : 25337, 1351
0.8 : 25337, 1351
0.9 : 24666, 2022
1 : 26688, 0
====================
2, [1, 16], relu
epoch: 0, loss: 0.2414350062608719
epoch: 1, loss: 0.22868040204048157
epoch: 2, loss: 0.22867275774478912
epoch: 3, loss: 0.22866487503051758
epoch: 4, loss: 0.22863878309726715
epoch: 5, loss: 0.22517676651477814
epoch: 6, loss: 0.22220470011234283
epoch: 7, loss: 0.21578647196292877
epoch: 8, loss: 0.06748957931995392
epoch: 9, loss: 0.04619279131293297
epoch: 10, loss: 0.04315605014562607
epoch: 11, loss: 0.04282532259821892
epoch: 12, loss: 0.04268001765012741
epoch: 13, loss: 0.042598824948072433
epoch: 14, loss: 0.04255450516939163
epoch: 15, loss: 0.04252536594867706
epoch: 16, loss: 0.04251798242330551
epoch: 17, loss: 0.04248959943652153
epoch: 18, loss: 0.042498938739299774
epoch: 19, loss: 0.04249429702758789
0 : 13344, 13344
0.1 : 24207, 2481
0.2 : 24965, 1723
0.3 : 25333, 1355
0.4 : 25336, 1352
0.5 : 25336, 1352
